16.39,32.47,35.60
-4.97,18.96,32.29
18.36,39.95,34.10
5.43,36.62,41.65
16.80,5.23,22.61
20.18,25.80,22.66
15.79,18.51,27.46
0.00,2.77,24.00
-11.98,24.99,12.24
13.60,27.26,43.87
35.88,15.47,38.46
24.06,11.07,15.34
13.08,14.35,10.78
14.37,11.75,21.93
18.24,24.88,38.47
6.96,23.75,23.51
34.22,32.07,12.38
-8.20,10.76,30.52
29.38,10.00,34.77
22.73,34.44,59.64
12.23,16.61,12.90
0.00,14.92,10.61
-0.67,23.29,6.91
39.83,39.23,28.76
-3.91,25.56,10.02
32.41,10.28,26.97
35.67,6.36,32.98
0.00,16.05,30.62
16.23,39.01,30.61
33.76,19.46,29.51
24.35,27.35,27.55
0.00,14.08,8.46
12.90,23.59,14.84
20.91,2.71,26.84
28.46,31.60,19.05
12.28,38.53,42.61
17.38,19.19,10.25
20.26,2.45,17.91
32.05,25.47,13.66
0.00,33.57,25.51
0.00,22.45,5.88
21.34,19.78,50.38
32.61,33.58,45.86
31.20,26.14,27.01
11.82,39.85,39.69
3.19,36.76,37.26
5.99,12.36,21.84
39.66,18.63,45.97
35.30,9.07,32.33
12.68,31.38,28.32
-13.68,24.24,23.64
28.88,36.82,49.08
27.57,37.57,19.08
39.10,28.50,10.88
16.69,27.05,33.90
34.59,29.30,6.98
0.00,10.48,34.32
25.43,12.95,33.19
0.00,4.18,29.76
25.68,26.23,47.62
-8.66,28.30,22.90
24.18,28.87,41.50
4.44,12.99,11.41
29.07,28.13,68.69
32.95,3.45,33.81
0.00,16.12,16.09
30.99,38.69,47.07
4.02,28.88,27.95
33.65,30.39,9.11
22.41,20.94,32.17
-14.46,14.83,33.20
14.43,31.61,30.90
35.64,16.39,43.75
36.31,14.40,22.88
19.67,37.36,48.69
11.16,34.50,39.13
7.00,24.78,31.02
26.81,12.91,20.90
0.00,13.09,2.19
18.14,13.97,27.54
28.26,13.32,47.23
29.56,39.61,35.87
0.00,10.01,8.68
28.84,21.24,13.40
16.60,13.49,4.76
-10.94,18.69,18.50
-14.57,34.33,5.14
32.04,9.86,42.66
27.19,25.40,40.39
24.86,23.77,1.43
20.55,29.24,41.02
14.08,21.60,36.91
4.85,38.39,42.08
18.90,15.57,12.28
20.71,32.24,15.00
19.80,17.35,44.93
30.90,22.33,36.67
28.94,16.04,39.21
31.83,28.47,62.18
10.98,3.48,25.91
16.97,21.91,24.43
26.20,7.56,26.80
18.15,20.41,16.31
31.86,10.94,29.08
25.66,32.38,27.98
20.86,8.53,33.13
30.53,23.49,61.34
15.69,38.37,33.98
20.25,32.37,26.80
23.35,32.34,13.05
0.00,5.75,18.09
19.19,37.50,44.88
23.41,34.50,36.88
21.84,16.48,24.50
29.62,18.87,50.59
28.48,9.29,27.70
23.12,20.28,7.99
20.65,16.55,5.72
0.00,22.57,29.04
0.00,30.90,3.65
10.42,34.78,25.25
28.21,10.67,30.94
-9.34,21.48,24.05
32.38,24.18,48.98
0.00,20.27,2.94
19.05,32.06,25.84
29.04,20.41,34.46
27.83,13.71,38.12
0.00,32.07,3.66
11.61,31.42,40.93
34.84,19.95,62.26
17.95,2.94,17.60
26.09,27.27,49.89
2.28,26.44,26.36
0.00,4.09,30.09
0.00,15.45,32.87
10.53,21.96,20.20
18.29,19.74,34.70
15.09,9.62,20.03
11.86,16.92,6.92
30.18,16.67,37.58
26.76,8.19,21.42
-13.70,15.22,5.27
5.26,28.83,31.16
3.07,18.78,20.93
36.19,18.55,26.04
-3.98,16.77,20.26
-13.34,24.12,7.50
14.28,4.37,11.24
-2.27,14.54,33.99
10.80,27.91,47.25
30.36,36.38,28.55
-13.55,4.09,32.90
5.53,17.97,17.37
5.95,27.07,24.03
8.81,15.06,20.42
12.61,24.71,36.82
5.37,3.44,4.14
33.19,3.94,33.70
35.64,5.54,38.27
21.78,9.73,30.60
13.27,19.46,33.46
15.62,8.85,16.05
4.78,24.12,22.81
12.03,38.83,38.18
-3.91,10.24,5.70
3.44,4.51,3.17
0.00,10.16,21.78
33.92,3.65,44.19
2.44,23.00,24.44
0.00,4.84,29.07
2.25,16.77,18.47
0.00,31.63,30.15
3.07,7.23,9.09
14.84,17.26,28.06
25.29,34.68,41.73
26.98,10.09,26.97
39.31,27.05,18.28
0.00,5.94,31.49
0.00,18.37,15.29
-9.71,23.63,22.39
24.62,22.83,41.11
0.00,13.44,25.70
25.21,34.42,11.70
26.91,12.04,16.97
4.68,3.34,6.11
39.24,26.87,18.85
39.84,17.70,22.94
22.92,25.21,32.17
25.99,21.78,31.93
9.62,8.19,23.19
